Constituent ID,Artist Display Name,Artist ULAN ID,Artist Wikidata ID
100438,William Horn and Company,,
100439,C. S. Grafulla,,
100440,Lieutenant Cozzens,,
100441,J. Strahan,,
100442,F. W. Garbrecht,,
100443,Eliphalet M. Brown Jr.,,
100444,Lewis & Brown,,
100445,Solon Robinson,,
100446,S. W. Chandler & Co.,,
100447,John Sewel,,
100448,Samuel Rawle,500005966,Q7412449
100452,Andrew Shortrede,,
100453,"William Cooper, Ltd.",,
100454,Rosenau,,
100455,Charles Currier,500115502,
100456,G. E. Lewis,,
100457,Mary Balmanno,,
100458,"Charles Holt, Jr.",,
100459,Augusta Browne,,
100460,Hewitt & Jaques,,
100461,F. Weiland,,
100462,William Clifton,,
100464,Thomson & Pinder,,
100465,Cox & Sons,,
100466,Morrison,,
100467,J. L. Winn,,
100468,Thomas Doesburgh,500042981,Q21637550
100469,R. Lerow,,
100470,Lebreton,,
100471,Bulla frères,,
100472,Belquet,,
100474,Sutherland,,
100475,Westley & Tyrrell,,
100476,Fritz Meyer,,
100478,Alfred Tallis,,
100479,Joseph Crouch,,
100480,Edmund Butler,,
100481,Alfred E. Baker,,
100483,John Crockford,,
100484,Richmond,,
100485,J. W. Hewitt,,
100486,Paul Decker,,
100487,Henry Parker,,
100488,H. Piers and Partner,,
100489,Charles Canda,,
100490,Pope Martin V,,
100491,Pope Adrian VI,,
100492,Pope Pius V,,
100493,Pope Gregory XIII,,
100494,Bourgois,,
100495,Cassas,,
100496,Samuel Seymour,500017294,
100498,G. W. Smith,,
100500,Bourne Depository of Arts,,
100503,Williams & Stevens,,
100504,William Bayley,,
100505,Henry M. Onderdonk,,
100506,Herman Bencke,,
100508,Henry C. Eno,,
100509,Joseph C. Geissler,,
100510,Central Park Publishing Company,,
100511,Martel,,
100512,Pierre-Louis Martel,,
100513,Thomas Kelly,,
100514,L. R. Menger,,
100515,Hopcraft & Co.,,
100516,Louis-René Letronne,500053845,Q18508482
100517,T. Blood,,
100518,T. Boosey & Co.,,
100519,Ludwig van Beethoven,,
100520,Mme Marie Julienne Hallinguer Boulanger,,
100521,Georges Rouget,500023788,Q2164632
100522,Bertonnier,,
100523,Luigi Boccherini,,
100524,C. DeWitt,,
100525,D. C. Hitchcock & Co.,,
100526,Antoine Achille Bourgeois de la Richardière,,
100527,Paul Girardet,500121885,Q2059790
100528,Hippolyte-Victor-Valentin Sebron,500005888,Q3136129
100530,Peter Stuyvesant,,
100531,E. Becker,,
100532,David & John Jardine,,
100533,Johann Sebastian Bach,,
100534,Hammann,,
100535,W. Jab,,
100536,W. Zawitz,,
100537,Dougal,,
100538,John Briem,,
100539,Herman Wessbecher,,
100540,George W. Lewis,500101133,
100541,C. Craske,,
100542,James Clark,,
100543,Davis,,
100544,Alex Demarest,,
100545,William Blake,,
100546,James W. Renwick,,
100547,H. & O. Ficht,,
